No,Study_Regi,PLTD,Load_kW,Load_kW_MA,latitude,longitude,Pop,Pop_Den,Pop_Radius
1,Riau & Kepulauan Riau,PLTD Sungai Bela,114.658666699999998,140.870000000000005,-0.388574,103.588314999999994,3404,323,5205
2,Riau & Kepulauan Riau,PLTD Sungai Buluh,74.072000000000003,88.790000000000006,-0.417166,103.592370000000003,1801,136,5205
3,Riau & Kepulauan Riau,PLTD Tanjung Pasir,45.489333330000001,59.460000000000001,-0.447148,103.393382000000003,2261,217,17824
4,Riau & Kepulauan Riau,PLTD Sungai Laut,99.999333329999999,119.390000000000001,-0.506229,103.506527000000006,2528,177,8534
5,Riau & Kepulauan Riau,PLTD Alai,292.817916700000012,412.069999999999993,0.653826,103.482624000000001,2659,198,37369
6,Riau & Kepulauan Riau,PLTD Penarah,200.752083300000010,235.759999999999991,0.81375,103.512219999999999,1419,96,10090
7,Riau & Kepulauan Riau,PLTD Teluk Lanus,61.710666670000002,76.510000000000005,0.739359,102.844130000000007,1155,83,3938
8,Riau & Kepulauan Riau,PLTD Pangkil,56.374166670000001,81.069999999999993,0.820208,104.358069000000000,1370,117,1370
9,Riau & Kepulauan Riau,PLTD Bukit,13.970625000000000,19.609999999999999,0.446808,104.430822000000006,8422,649,400
10,Riau & Kepulauan Riau,PLTD Duyung,20.166666670000001,26.000000000000000,0.36052,104.473190000000002,400,30,400
11,Riau & Kepulauan Riau,PLTD Daek Lingga,1831.454582999999957,2375.599999999999909,-0.21138,104.606160000000003,3302,212,6417
12,Riau & Kepulauan Riau,PLTD Penuba,265.767083300000024,346.970000000000027,-0.32378,104.451859999999996,1447,129,3509
13,Riau & Kepulauan Riau,PLTD Buluh Patah,35.850000000000001,45.700000000000003,0.7795,103.939409999999995,3981,529,3981
14,Riau & Kepulauan Riau,PLTD Ngal,8.778124999999999,13.190000000000000,0.67911,103.586600000000004,699,61,699
15,Riau & Kepulauan Riau,PLTD Sanglar,52.723333330000003,82.340000000000003,0.61926,103.703329999999994,1633,159,1633
16,Riau & Kepulauan Riau,PLTD Tarempa,1207.724167000000079,1597.569999999999936,3.228530000000000,106.233170000000001,2476,167,8327
17,Riau & Kepulauan Riau,PLTD Ladan,796.604166699999951,1021.440000000000055,3.330350000000000,106.261899999999997,2199,186,2565
18,Riau & Kepulauan Riau,PLTD Mubur,104.351249999999993,135.289999999999992,3.301040000000000,106.215689999999995,400,44,3727
19,Riau & Kepulauan Riau,PLTD Impol,22.044000000000000,29.989999999999998,3.088250000000000,105.724180000000004,787,66,787
20,Riau & Kepulauan Riau,PLTD Rengit,7.000000000000000,15.000000000000000,-2.94299,107.525999999999996,2055,189,6175
21,Riau & Kepulauan Riau,PLTD Buntar,6.050000000000000,6.300000000000000,-3.0602,107.367374499999997,2108,224,2108
22,Riau & Kepulauan Riau,PLTD Gersik,39.166666669999998,49.000000000000000,-2.99735,107.269000000000005,2108,224,2108
23,Riau & Kepulauan Riau,PLTD Seliu,63.958333330000002,82.000000000000000,-3.201963755,107.542000000000002,1081,107,2380
