No,Study_Region,Pulau,PLTD,Latitude,Longitude,Load_kWH,
1,UID Riau & Kepri (RKR),Pulau Bakong,PLTD Sungai Bela,-0.388574°,103.588315°,114.66,
2,UID Riau & Kepri (RKR),Pulau Airtawar,PLTD Sungai Buluh,-0.417166°,103.592370°,74.07,
3,UID Riau & Kepri (RKR),Pulau Airtawar,PLTD Sungai Laut,-0.506229°,103.506527°,100,
4,UID Riau & Kepri (RKR),Pulau Airtawar,PLTD Tanjung Pasir,-0.447148°,103.393382°,45.49,
5,UID Riau & Kepri (RKR),Pulau Ungar,PLTD Alai,0.653826°,103.482624°,292.82,
6,UID Riau & Kepri (RKR),Pulau Sumatera,PLTD Teluk Lanus,0.739359°,102.844130°,61.71,
7,UID Riau & Kepri (RKR),Pulau Belat,PLTD Penarah,0.813750°,103.512220°,200.75,
8,UID Riau & Kepri (RKR),Pulau Pangkil,PLTD Pangkil,0.820208,104.358069,56.37,
9,"UID Sulawesi Utara, Tengah, dan Gorontalo (STG)","Pulau Kalama, Kepulauan Sangihe",PLTD Kalama,3.233240642,125.4546503,19.95,
10,"UID Sulawesi Utara, Tengah, dan Gorontalo (STG)","Pulau Mahengetang, Kepulauan Sangihe",PLTD Mahengetang,3.144057789,125.4514433,19.12,
11,UIW Nusa Tenggara Timur (NTT),Pulau Pemana Besar,PLTD Pemana,-8.352055°,122.319568°,182.43,
12,UIW Nusa Tenggara Timur (NTT),Pulau Flores,PLTD Waibalun,-8.339429°,122.947199°,4869.96,
13,UIW Maluku & Maluku Utara (MMU),Pulau Saparua,PLTD Saparua,-3.571863°,128.643795°,1237.36,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
