No,Study_Regi,PLTD,Load_kW,Load_kW_MA,latitude,longitude,Pop,Pop_Den,Pop_Radius,Annual_Radiance
1,Riau & Kepulauan Riau,PLTD Sungai Bela,114.6586667,140.87,-0.388574,103.588315,3404,323,5205,0.8482882976531982
2,Riau & Kepulauan Riau,PLTD Sungai Buluh,74.072,88.79,-0.417166,103.59237,1801,136,5205,0.8482882976531982
3,Riau & Kepulauan Riau,PLTD Tanjung Pasir,45.48933333,59.46,-0.447148,103.393382,2261,217,17824,0.5304607152938843
4,Riau & Kepulauan Riau,PLTD Sungai Laut,99.99933333000001,119.39,-0.506229,103.506527,2528,177,8534,0.7174594402313232
5,Riau & Kepulauan Riau,PLTD Alai,292.8179167,412.07,0.653826,103.482624,2659,198,37369,5.606742858886719
6,Riau & Kepulauan Riau,PLTD Penarah,200.7520833,235.76,0.81375,103.51222,1419,96,10090,1.4245731830596924
7,Riau & Kepulauan Riau,PLTD Teluk Lanus,61.71066667,76.51,0.739359,102.84413,1155,83,3938,0.4760470688343048
8,Riau & Kepulauan Riau,PLTD Pangkil,56.37416667,81.06999999999998,0.820208,104.358069,1370,117,1370,0.7733632922172546
9,Riau & Kepulauan Riau,PLTD Bukit,13.970625,19.61,0.446808,104.430822,8422,649,400,1.266587734222412
10,Riau & Kepulauan Riau,PLTD Duyung,20.16666667,26.0,0.36052,104.47319,400,30,400,0.4386090338230133
11,Riau & Kepulauan Riau,PLTD Daek Lingga,1831.454583,2375.6,-0.21138,104.60616,3302,212,6417,3.8492016792297363
12,Riau & Kepulauan Riau,PLTD Penuba,265.7670833,346.97,-0.32378,104.45186,1447,129,3509,0.9999976754188538
13,Riau & Kepulauan Riau,PLTD Buluh Patah,35.85,45.7,0.7795,103.93941,3981,529,3981,0.6238694190979004
14,Riau & Kepulauan Riau,PLTD Ngal,8.778125,13.19,0.67911,103.5866,699,61,699,0.40550482273101807
15,Riau & Kepulauan Riau,PLTD Sanglar,52.72333333,82.34,0.61926,103.70333,1633,159,1633,0.48472532629966736
16,Riau & Kepulauan Riau,PLTD Tarempa,1207.724167,1597.57,3.22853,106.23317,2476,167,8327,4.237938404083252
17,Riau & Kepulauan Riau,PLTD Ladan,796.6041666999998,1021.44,3.33035,106.2619,2199,186,2565,4.634095668792725
18,Riau & Kepulauan Riau,PLTD Mubur,104.35125,135.29,3.30104,106.21569,400,44,3727,0.883675217628479
19,Riau & Kepulauan Riau,PLTD Impol,22.044,29.99,3.08825,105.72418,787,66,787,0.5165467262268066
20,Riau & Kepulauan Riau,PLTD Rengit,7.0,15.0,-2.94299,107.526,2055,189,6175,2.304823398590088
21,Riau & Kepulauan Riau,PLTD Buntar,6.05,6.3,-3.0602,107.3673745,2108,224,2108,0.3943746089935303
22,Riau & Kepulauan Riau,PLTD Gersik,39.16666667,49.0,-2.99735,107.269,2108,224,2108,1.0591102838516235
23,Riau & Kepulauan Riau,PLTD Seliu,63.95833333,82.0,-3.201963755,107.542,1081,107,2380,0.9784114956855774
24,Nusa Tenggara Timur,PLTD Waibalun,4869.955833,6564.01,-8.339429,122.947199,3020,288,38409,7.305853843688965
25,Nusa Tenggara Timur,PLTD Pemana,182.4275,227.24,-8.352055,122.319568,3241,335,4916,2.1447670459747314
26,Nusa Tenggara Timur,PLTD Menanga,846.0833333,1376.0,-8.43952,123.085,1778,161,24988,2.0547046661376953
27,Nusa Tenggara Timur,PLTD Baranusa,661.9583333,1115.0,-8.36233,124.087,949,131,15211,2.3399100303649902
28,Nusa Tenggara Timur,PLTD Pura,94.54166667,179.0,-8.27734,124.352,1413,128,7544,0.7370383739471436
29,Nusa Tenggara Timur,PLTD Ndao,74.66666667,149.0,-10.822,122.665,579,67,3165,1.9399570226669312
30,Sulawesi Utara & Tengah,PLTD Siladen,71.1875,85.09999999999998,1.61113,124.77684,3224,280,4048,1.8358111381530762
31,Sulawesi Utara & Tengah,PLTD Makalehi,54.805,67.3,2.73399,125.16314,390,40,1281,0.6754288077354431
32,Sulawesi Utara & Tengah,PLTD Siau,2470.87875,3284.79,2.738002096,125.3608615,2144,160,20184,1.8746113777160645
33,Sulawesi Utara & Tengah,PLTD Mahengetang,19.12125,23.1,3.144057789,125.4514433,708,63,708,0.30850669741630554
34,Sulawesi Utara & Tengah,PLTD Kalama,19.95,24.35,3.233240642,125.4546503,899,74,899,0.3178725838661194
35,Sulawesi Utara & Tengah,PLTD Salingkere,8.57,9.58,3.096284041,125.490953,446,32,1367,0.34373927116394043
36,Sulawesi Utara & Tengah,PLTD Bebalang,11.02625,23.79,3.339596113,125.572954,370,33,370,0.35233616828918457
37,Sulawesi Selatan,PLTD Tanakeke,64.16666667,83.0,-5.50438,119.293,1253,114,6547,0.6173022985458374
38,Sulawesi Selatan,PLTD Karanrang,145.3461538,191.0,-4.85677,119.384,3573,331,6417,1.5726784467697144
39,Sulawesi Selatan,PLTD Sabutung,67.76923077,92.0,-4.7501,119.433,1792,152,8280,1.254941701889038
40,Maluku & Maluku Utara,PLTD Saparua,1237.364583,1787.92,-3.571863,128.643795,1276,107,18527,1.8267682790756226
41,Maluku & Maluku Utara,PLTD Lontohir,406.7720833,535.5,-4.54627,129.8957,2344,229,6021,2.9900617599487305
42,Maluku & Maluku Utara,PLTD Wahai,460.8333333,676.0,-2.797162,129.4954786,5973,611,10576,1.9218456745147705
43,Maluku & Maluku Utara,PLTD Kedi,188.88625,269.32,1.66891,127.58763,1142,135,7380,1.0386172533035278
44,Maluku & Maluku Utara,PLTD Dagasuli,45.38461538,70.0,2.1896268,127.7466479,730,108,4551,0.739838719367981
45,Maluku & Maluku Utara,PLTD Dama,107.0,162.0,2.2248971,127.7919449,1456,180,4549,1.0604114532470703
46,Kalimantan Timur & Utara,PLTD Labang,7.516666667,7.9,4.2173266,116.5531961,43,10,164,0.43118155002593994
47,Kalimantan Timur & Utara,PLTD Sei Menggaris,379.3916667,485.38,4.16085,117.2647,3762,308,7211,2.578681230545044
48,Kalimantan Timur & Utara,PLTD Long Layu,37.96923077,49.56,3.61292,115.69922,139,11,1066,0.4755896031856537
49,Jawa Timur,PLTD Kangean,3705.333333,5115.0,-6.84023,115.229,4920,396,37392,4.9898529052734375
50,Jawa Timur,PLTD Gili Iyang,325.2083333,506.0,-6.97951,114.166,3637,228,7094,2.399857759475708
51,Jawa Timur,PLTD Sapudi,2123.333333,2500.0,-7.09128,114.272,2787,134,16576,1.9002342224121094
52,Papua,PLTD Jefman,41.621,54.49,-0.9243,131.11784,723,20,1114,0.8357371687889099
